title	imdb_id	startYear	runtimeMinutes	genres	url	imdb_rating	num_votes
The House That Jack Built	tt4003440	2018	152	Crime,Drama,Horror	https://letterboxd.com/film/the-house-that-jack-built-2018/	6.8	88254
Alice in Wonderland	tt1014759	2010	108	Adventure,Family,Fantasy	https://letterboxd.com/film/alice-in-wonderland-2010/	6.4	434446
The Father	tt10272386	2020	97	Drama,Mystery	https://letterboxd.com/film/the-father-2020/	8.2	182465
Twilight	tt1099212	2008	122	Drama,Fantasy,Romance	https://letterboxd.com/film/twilight-2008/	5.3	480655
The Artist	tt1655442	2011	100	Comedy,Drama,Romance	https://letterboxd.com/film/the-artist/	7.9	246969
Rebecca	tt0032976	1940	130	Drama,Film-Noir,Mystery	https://letterboxd.com/film/rebecca/	8.1	144252
Love	tt3774694	2015	135	Drama,Romance	https://letterboxd.com/film/love-2015/	6.1	65073
The Lure	tt5278832	2015	92	Drama,Fantasy,Horror	https://letterboxd.com/film/the-lure/	6.3	9513
The Nightingale	tt4068576	2018	136	Adventure,Drama,Thriller	https://letterboxd.com/film/the-nightingale-2018/	7.3	34475
The Ring	tt0298130	2002	115	Horror,Mystery	https://letterboxd.com/film/the-ring-2002/	7.1	369157
The Hunt	tt2106476	2012	115	Drama	https://letterboxd.com/film/the-hunt-2012/	8.3	354834
Youth	tt3312830	2015	124	Comedy,Drama,Music	https://letterboxd.com/film/youth-2015/	7.3	82117
The Net	tt0113957	1995	114	Action,Crime,Drama	https://letterboxd.com/film/the-net/	6	72681
Sunshine	tt0448134	2007	107	Sci-Fi,Thriller	https://letterboxd.com/film/sunshine-2007/	7.2	263054
Wall Street	tt0094291	1987	126	Crime,Drama	https://letterboxd.com/film/wall-street/	7.3	163064
The Witch	tt4263482	2015	92	Drama,Fantasy,Horror	https://letterboxd.com/film/the-witch-2015/	7	291190
Jack and Jill	tt0810913	2011	91	Comedy	https://letterboxd.com/film/jack-and-jill/	3.3	89148
Speed	tt0111257	1994	116	Action,Adventure,Thriller	https://letterboxd.com/film/speed/	7.3	384890
Victoria	tt4226388	2015	138	Crime,Drama,Romance	https://letterboxd.com/film/victoria-2015/	7.6	62168
Kids	tt0113540	1995	91	Drama	https://letterboxd.com/film/kids/	7	83326
Little Women	tt3281548	2019	135	Drama,Romance	https://letterboxd.com/film/little-women-2019/	7.8	233332
Atonement	tt0783233	2007	123	Drama,Mystery,Romance	https://letterboxd.com/film/atonement/	7.8	294500
The Fighter	tt0964517	2010	116	Action,Biography,Drama	https://letterboxd.com/film/the-fighter-2010/	7.8	384205
Shame	tt1723811	2011	101	Drama	https://letterboxd.com/film/shame-2011/	7.2	203770
Nobody	tt7888964	2021	92	Action,Crime,Drama	https://letterboxd.com/film/nobody-2021/	7.4	311452
Nosferatu	tt0013442	1922	94	Fantasy,Horror	https://letterboxd.com/film/nosferatu/	7.9	103632
Thelma	tt6304046	2017	116	Drama,Fantasy,Horror	https://letterboxd.com/film/thelma-2017/	7	35916
The Ten Commandments	tt0049833	1956	220	Adventure,Drama,Family	https://letterboxd.com/film/the-ten-commandments-1956/	7.9	75713
Before Midnight	tt2209418	2013	109	Drama,Romance	https://letterboxd.com/film/before-midnight/	7.9	169153
Boy	tt1560139	2010	87	Comedy,Drama	https://letterboxd.com/film/boy-2010/	7.5	28808
The Circle	tt4287320	2017	110	Drama,Mystery,Sci-Fi	https://letterboxd.com/film/the-circle-2017/	5.3	98316
Twins	tt0096320	1988	107	Comedy,Crime	https://letterboxd.com/film/twins/	6.1	134386
The Verdict	tt0084855	1982	129	Drama	https://letterboxd.com/film/the-verdict-1982/	7.7	44834
White Fang	tt0103247	1991	107	Adventure,Drama,Family	https://letterboxd.com/film/white-fang-1991/	6.7	22058
The Wizard of Oz	tt0032138	1939	102	Adventure,Family,Fantasy	https://letterboxd.com/film/the-wizard-of-oz-1939/	8.1	420730
The Great Gatsby	tt1343092	2013	143	Drama,Romance	https://letterboxd.com/film/the-great-gatsby-2013/	7.2	583005
Metropolis	tt0017136	1927	153	Drama,Sci-Fi	https://letterboxd.com/film/metropolis/	8.3	182423
Silence	tt0490215	2016	161	Drama,History	https://letterboxd.com/film/silence/	7.2	120477
Becky	tt10314450	2020	93	Action,Crime,Drama	https://letterboxd.com/film/becky-2020/	6	23429
Birds of Prey	tt7713068	2020	109	Action,Comedy,Crime	https://letterboxd.com/film/birds-of-prey-and-the-fantabulous-emancipation-of-one-harley-quinn/	6.1	259162
It	tt1396484	2017	135	Horror	https://letterboxd.com/film/it-1990/	7.3	591979
Underworld	tt0320691	2003	121	Action,Fantasy,Thriller	https://letterboxd.com/film/underworld-2003/	7	281704
The Wizard	tt0098663	1989	96	Adventure,Comedy,Drama	https://letterboxd.com/film/the-wizard/	6.1	16304
The Aviator	tt0338751	2004	170	Biography,Drama	https://letterboxd.com/film/the-aviator/	7.5	379016
Prisoners	tt1392214	2013	153	Crime,Drama,Mystery	https://letterboxd.com/film/prisoners/	8.1	783279
A Single Man	tt1315981	2009	99	Crime,Drama,Romance	https://letterboxd.com/film/a-single-man/	7.5	116675
The Wolf of Wall Street	tt0993846	2013	180	Biography,Comedy,Crime	https://letterboxd.com/film/the-wolf-of-wall-street/	8.2	1534678
All Quiet on the Western Front	tt1016150	2022	148	Action,Drama,War	https://letterboxd.com/film/all-quiet-on-the-western-front-2022/	7.8	229958
Iron Man	tt0371746	2008	126	Action,Adventure,Sci-Fi	https://letterboxd.com/film/iron-man-2008/	7.9	1106276
The Maltese Falcon	tt0033870	1941	100	Crime,Film-Noir,Mystery	https://letterboxd.com/film/the-maltese-falcon-1941/	8	164693
The Mummy	tt0120616	1999	124	Action,Adventure,Fantasy	https://letterboxd.com/film/the-mummy-1999/	7.1	452749
Paprika	tt0851578	2006	90	Animation,Drama,Fantasy	https://letterboxd.com/film/paprika-2006/	7.7	92993
Life Is Beautiful	tt0118799	1997	116	Comedy,Drama,Romance	https://letterboxd.com/film/life-is-beautiful/	8.6	729655
Scarface	tt0086250	1983	170	Crime,Drama	https://letterboxd.com/film/scarface-1983/	8.3	895797
King Kong	tt0360717	2005	187	Action,Adventure,Romance	https://letterboxd.com/film/king-kong-2005/	7.2	440774
The Fountain	tt0414993	2006	97	Drama,Mystery,Romance	https://letterboxd.com/film/the-fountain/	7.2	246741
Men in Black	tt0119654	1997	98	Action,Adventure,Comedy	https://letterboxd.com/film/men-in-black/	7.3	600502
Million Dollar Baby	tt0405159	2004	132	Drama,Sport	https://letterboxd.com/film/million-dollar-baby/	8.1	712359
Suicide Squad	tt1386697	2016	123	Action,Adventure,Fantasy	https://letterboxd.com/film/suicide-squad-2016/	5.9	712777
Flash Gordon	tt0080745	1980	111	Action,Adventure,Sci-Fi	https://letterboxd.com/film/flash-gordon-1980/	6.5	60332
To Catch a Thief	tt0048728	1955	106	Mystery,Romance,Thriller	https://letterboxd.com/film/to-catch-a-thief/	7.4	78244
Falling in Love	tt0087233	1984	106	Drama,Romance	https://letterboxd.com/film/falling-in-love/	6.5	15020
Heidi	tt3700392	2015	111	Drama,Family	https://letterboxd.com/film/heidi/	7.4	6859
Gangs of New York	tt0217505	2002	167	Crime,Drama	https://letterboxd.com/film/gangs-of-new-york-2002/	7.5	465610
Stardust	tt0486655	2007	127	Adventure,Family,Fantasy	https://letterboxd.com/film/stardust-2007/	7.6	281440
Frenzy	tt0068611	1972	116	Thriller	https://letterboxd.com/film/frenzy/	7.4	48586
Gone with the Wind	tt0031381	1939	238	Drama,Romance,War	https://letterboxd.com/film/gone-with-the-wind/	8.2	329014
Long Shot	tt2139881	2019	125	Comedy,Romance	https://letterboxd.com/film/long-shot-2019/	6.8	119325
The Man in the Iron Mask	tt0120744	1998	132	Action,Adventure,Drama	https://letterboxd.com/film/the-man-in-the-iron-mask-1998/	6.5	176347
Some Like It Hot	tt0053291	1959	121	Comedy,Music,Romance	https://letterboxd.com/film/some-like-it-hot/	8.2	279220
The Philadelphia Story	tt0032904	1940	112	Comedy,Romance	https://letterboxd.com/film/the-philadelphia-story/	7.9	72711
Citizen Kane	tt0033467	1941	119	Drama,Mystery	https://letterboxd.com/film/citizen-kane/	8.3	459611
Dumbo	tt0033563	1941	64	Adventure,Animation,Drama	https://letterboxd.com/film/dumbo-2019/	7.2	139835
Mr. & Mrs. Smith	tt0356910	2005	120	Action,Comedy,Crime	https://letterboxd.com/film/mr-mrs-smith-2005/	6.5	527536
Superman	tt0078346	1978	143	Action,Adventure,Sci-Fi	https://letterboxd.com/film/superman/	7.4	184561
Casablanca	tt0034583	1942	102	Drama,Romance,War	https://letterboxd.com/film/casablanca/	8.5	596592
The Dark Tower	tt1648190	2017	95	Action,Adventure,Fantasy	https://letterboxd.com/film/the-dark-tower/	5.6	144228
The Avengers	tt0848228	2012	143	Action,Sci-Fi	https://letterboxd.com/film/the-avengers-2012/	8	1442233
The Jungle Book	tt3040964	2016	106	Adventure,Animation,Comedy	https://letterboxd.com/film/the-jungle-book/	7.4	288427
Midnight in Paris	tt1605783	2011	94	Comedy,Fantasy,Romance	https://letterboxd.com/film/midnight-in-paris/	7.6	444108
Batman	tt0096895	1989	126	Action,Adventure	https://letterboxd.com/film/batman-1989/	7.5	398268
